ID	Name	Handedness	Height	Weight	Batting Average	Home Runs	Body Mass Index	NZ	Sqrt-HR	BMI-Type	R Handed	L Handed	B Handed	737	316	104	HR Norm	1/Weight
34	Jim Hickman	R	75	192	0.25	159	23.99573333	1	12.60952021	"(23,25]"	1	0	0	159	0	0	215.7394844	0.737
35	Jack Billingham	R	76	195	0.11	0	23.73355263	1	0	"(23,25]"	1	0	0	0	0	0	0	0.737
36	Jerry Buchek	R	71	185	0.22	22	25.79944455	1	4.69041576	"(25,32]"	1	0	0	22	0	0	29.85074627	0.737
37	Ivan DeJesus	R	71	175	0.25	21	24.40487998	1	4.582575695	"(23,25]"	1	0	0	21	0	0	28.49389417	0.737
38	Gary Nolan	R	74	197	0.14	1	25.29054054	1	1	"(25,32]"	1	0	0	1	0	0	1.356852103	0.737
39	Gil Patterson	R	73	185	0	0	24.40514168	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
40	Fred Whitfield	L	73	190	0.25	108	25.0647401	1	10.39230485	"(25,32]"	0	1	0	0	108	0	341.7721519	0.316
41	Larry Dierker	R	76	215	0.14	4	26.16776316	1	2	"(25,32]"	1	0	0	4	0	0	5.427408412	0.737
42	Dave Skaggs	R	74	200	0.24	3	25.67567568	1	1.732050808	"(25,32]"	1	0	0	3	0	0	4.070556309	0.737
43	Dick Ruthven	R	75	190	0.18	1	23.74577778	1	1	"(23,25]"	1	0	0	1	0	0	1.356852103	0.737
44	Jerry Garvin	L	75	195	0	0	24.37066667	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
45	Steve Eddy	R	74	185	0	0	23.75	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
46	Dave Kingman	R	78	210	0.24	442	24.265286	1	21.02379604	"(23,25]"	1	0	0	442	0	0	599.7286296	0.737
47	Eric Soderholm	R	71	187	0.26	102	26.07835747	1	10.09950494	"(25,32]"	1	0	0	102	0	0	138.3989145	0.737
48	Kevin Mmahat	L	77	220	0	0	26.08534323	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
49	Ed Brinkman	R	72	170	0.22	60	23.05362654	1	7.745966692	"(23,25]"	1	0	0	60	0	0	81.41112619	0.737
50	Wayne Garrett	L	71	175	0.24	61	24.40487998	1	7.810249676	"(23,25]"	0	1	0	0	61	0	193.0379747	0.316
51	Tony Muser	L	74	180	0.26	7	23.10810811	1	2.645751311	"(23,25]"	0	1	0	0	7	0	22.15189873	0.316
52	Jim Siwy	R	76	200	0	0	24.34210526	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
53	Bud Anderson	R	75	210	0	0	26.24533333	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
54	Ted Ford	R	70	180	0.22	17	25.8244898	1	4.123105626	"(25,32]"	1	0	0	17	0	0	23.06648575	0.737
55	Kevin Stanfield	L	72	190	0	0	25.7658179	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
56	Jim Lyttle	L	72	180	0.25	9	24.40972222	1	3	"(23,25]"	0	1	0	0	9	0	28.48101266	0.316
57	John Butcher	R	76	185	0	0	22.51644737	0	0	"(16,23]"	1	0	0	0	0	0	0	0.737
58	Jerry Ujdur	R	73	195	0	0	25.72433853	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
59	Scot Thompson	L	75	195	0.26	5	24.37066667	1	2.236067977	"(23,25]"	0	1	0	0	5	0	15.82278481	0.316
60	Gene Locklear	L	70	165	0.27	9	23.67244898	1	3	"(23,25]"	0	1	0	0	9	0	28.48101266	0.316
61	Bo Diaz	R	71	185	0.26	87	25.79944455	1	9.327379053	"(25,32]"	1	0	0	87	0	0	118.046133	0.737
62	Bump Wills	B	69	172	0.27	36	25.39718547	1	6	"(25,32]"	0	0	1	0	0	36	346.1538462	0.104
63	Brian Denman	R	76	205	0	0	24.95065789	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
64	Pat Putnam	L	72	205	0.26	63	27.79996142	1	7.937253933	"(25,32]"	0	1	0	0	63	0	199.3670886	0.316
65	Kurt Bevacqua	R	72	180	0.24	27	24.40972222	1	5.196152423	"(23,25]"	1	0	0	27	0	0	36.63500678	0.737
66	Bob Fallon	L	75	200	0	0	24.99555556	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
67	Syd O'Brien	R	73	185	0.23	24	24.40514168	1	4.898979486	"(23,25]"	1	0	0	24	0	0	32.56445047	0.737
68	Chris Chambliss	L	73	195	0.28	185	25.72433853	1	13.60147051	"(25,32]"	0	1	0	0	185	0	585.443038	0.316
69	Tom Satriano	L	73	185	0.23	21	24.40514168	1	4.582575695	"(23,25]"	0	1	0	0	21	0	66.4556962	0.316
70	Jeffrey Leonard	R	74	200	0.27	144	25.67567568	1	12	"(25,32]"	1	0	0	144	0	0	195.3867028	0.737
71	Dal Maxvill	R	71	157	0.22	6	21.89466376	1	2.449489743	"(16,23]"	1	0	0	6	0	0	8.141112619	0.737
72	Steve Curry	R	78	217	0	0	25.07412886	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
73	Cesar Tovar	R	69	155	0.28	46	22.88699853	1	6.782329983	"(16,23]"	1	0	0	46	0	0	62.41519674	0.737
74	Mickey Lolich	B	73	170	0.11	0	22.42634641	1	0	"(16,23]"	0	0	1	0	0	0	0	0.104
75	Ray Chadwick	B	74	180	0	0	23.10810811	0	0	"(23,25]"	0	0	1	0	0	0	0	0.104
76	Jack Heidemann	R	72	175	0.21	9	23.73167438	1	3	"(23,25]"	1	0	0	9	0	0	12.21166893	0.737
77	Rich Rollins	R	70	185	0.27	77	26.54183673	1	8.774964387	"(25,32]"	1	0	0	77	0	0	104.4776119	0.737
78	Walt Bond	L	79	228	0.26	41	25.68242269	1	6.403124237	"(25,32]"	0	1	0	0	41	0	129.7468354	0.316
79	Merv Rettenmund	R	70	190	0.27	66	27.25918367	1	8.124038405	"(25,32]"	1	0	0	66	0	0	89.55223881	0.737
80	Bryan Clutterbuck	R	76	223	0	0	27.14144737	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
81	Byron Browne	R	74	190	0.24	30	24.39189189	1	5.477225575	"(23,25]"	1	0	0	30	0	0	40.70556309	0.737
82	Hector Torres	R	72	175	0.22	18	23.73167438	1	4.242640687	"(23,25]"	1	0	0	18	0	0	24.42333786	0.737
83	Walt Williams	R	66	165	0.27	33	26.62878788	1	5.744562647	"(25,32]"	1	0	0	33	0	0	44.7761194	0.737
84	Jerry Koosman	R	74	205	0.12	2	26.31756757	1	1.414213562	"(25,32]"	1	0	0	2	0	0	2.713704206	0.737
85	Steve Lombardozzi	R	72	175	0.23	20	23.73167438	1	4.472135955	"(23,25]"	1	0	0	20	0	0	27.13704206	0.737
86	Joe Azcue	R	72	190	0.25	50	25.7658179	1	7.071067812	"(25,32]"	1	0	0	50	0	0	67.84260516	0.737
87	Elliott Maddox	R	71	180	0.26	18	25.10216227	1	4.242640687	"(25,32]"	1	0	0	18	0	0	24.42333786	0.737
88	Omar Moreno	L	74	180	0.25	37	23.10810811	1	6.08276253	"(23,25]"	0	1	0	0	37	0	117.0886076	0.316
89	Julian Javier	R	73	175	0.26	78	23.08594483	1	8.831760866	"(23,25]"	1	0	0	78	0	0	105.834464	0.737
90	Tony Ferreira	L	73	160	0	0	21.10714956	0	0	"(16,23]"	0	1	0	0	0	0	0	0.316
91	Elio Chacon	R	69	160	0.23	4	23.6252888	1	2	"(23,25]"	1	0	0	4	0	0	5.427408412	0.737
92	Rusty Torres	B	70	175	0.21	35	25.10714286	1	5.916079783	"(25,32]"	0	0	1	0	0	35	336.5384615	0.104
93	John Stearns	R	72	185	0.26	46	25.08777006	1	6.782329983	"(25,32]"	1	0	0	46	0	0	62.41519674	0.737
94	Larry Brown	R	70	160	0.23	47	22.95510204	1	6.8556546	"(16,23]"	1	0	0	47	0	0	63.77204885	0.737
95	Tommy Dean	R	72	165	0.18	4	22.3755787	1	2	"(16,23]"	1	0	0	4	0	0	5.427408412	0.737
96	Bryan Oelkers	L	75	192	0	0	23.99573333	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
97	Kevin Bearse	L	74	195	0	0	25.03378378	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
98	Marty Martinez	B	72	170	0.24	0	23.05362654	1	0	"(23,25]"	0	0	1	0	0	0	0	0.104
99	Bruce Boisclair	L	74	185	0.26	10	23.75	1	3.16227766	"(23,25]"	0	1	0	0	10	0	31.64556962	0.316
100	Ken Singleton	B	76	210	0.28	246	25.55921053	1	15.68438714	"(25,32]"	0	0	1	0	0	246	2365.384615	0.104
101	Frank White	R	71	165	0.26	160	23.01031541	1	12.64911064	"(23,25]"	1	0	0	160	0	0	217.0963365	0.737
102	Jim Fairey	L	70	190	0.24	7	27.25918367	1	2.645751311	"(25,32]"	0	1	0	0	7	0	22.15189873	0.316
103	Jose Roman	R	72	175	0	0	23.73167438	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
104	Tom Brookens	R	70	165	0.25	71	23.67244898	1	8.426149773	"(23,25]"	1	0	0	71	0	0	96.33649932	0.737
105	Gary Thomasson	L	73	180	0.25	61	23.74554325	1	7.810249676	"(23,25]"	0	1	0	0	61	0	193.0379747	0.316
106	Mike Trujillo	R	73	180	0	0	23.74554325	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
107	Albert Williams	R	76	190	0	0	23.125	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
108	Oswaldo Peraza	R	76	172	0	0	20.93421053	0	0	"(16,23]"	1	0	0	0	0	0	0	0.737
109	Otto Velez	R	72	170	0.25	78	23.05362654	1	8.831760866	"(23,25]"	1	0	0	78	0	0	105.834464	0.737
110	Tony Scott	B	72	164	0.25	17	22.23996914	1	4.123105626	"(16,23]"	0	0	1	0	0	17	163.4615385	0.104
111	Ray Oyler	R	71	165	0.18	15	23.01031541	1	3.872983346	"(23,25]"	1	0	0	15	0	0	20.35278155	0.737
112	Barry Cort	R	77	210	0	0	24.89964581	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
113	Floyd Robinson	L	69	175	0.28	67	25.84015963	1	8.185352772	"(25,32]"	0	1	0	0	67	0	212.0253165	0.316
114	Steve Jeltz	B	71	180	0.21	5	25.10216227	1	2.236067977	"(25,32]"	0	0	1	0	0	5	48.07692308	0.104
115	Lou Brock	L	71	170	0.29	149	23.7075977	1	12.20655562	"(23,25]"	0	1	0	0	149	0	471.5189873	0.316
116	Bill Wilkinson	R	70	160	0	0	22.95510204	0	0	"(16,23]"	1	0	0	0	0	0	0	0.737
117	Joe Lovitto	B	72	185	0.22	4	25.08777006	1	2	"(25,32]"	0	0	1	0	0	4	38.46153846	0.104
118	Mike Loynd	R	76	210	0	0	25.55921053	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
119	Wayne Comer	R	70	175	0.23	16	25.10714286	1	4	"(25,32]"	1	0	0	16	0	0	21.70963365	0.737
120	Dave Collins	B	71	175	0.27	32	24.40487998	1	5.656854249	"(23,25]"	0	0	1	0	0	32	307.6923077	0.104
121	Ed Spiezio	R	71	180	0.24	39	25.10216227	1	6.244997998	"(25,32]"	1	0	0	39	0	0	52.91723202	0.737
122	Rico Petrocelli	R	72	175	0.25	210	23.73167438	1	14.49137675	"(23,25]"	1	0	0	210	0	0	284.9389417	0.737
123	Johnny Lewis	L	73	189	0.23	22	24.93282042	1	4.69041576	"(23,25]"	0	1	0	0	22	0	69.62025316	0.316
124	Dick Simpson	R	76	176	0.21	15	21.42105263	1	3.872983346	"(16,23]"	1	0	0	15	0	0	20.35278155	0.737
125	Ken Boswell	L	72	170	0.25	31	23.05362654	1	5.567764363	"(23,25]"	0	1	0	0	31	0	98.10126582	0.316
126	Ken McMullen	R	75	190	0.25	156	23.74577778	1	12.489996	"(23,25]"	1	0	0	156	0	0	211.6689281	0.737
127	Randy Scarbery	B	73	185	0	0	24.40514168	0	0	"(23,25]"	0	0	1	0	0	0	0	0.104
128	Steve Swisher	R	74	205	0.22	20	26.31756757	1	4.472135955	"(25,32]"	1	0	0	20	0	0	27.13704206	0.737
129	Ben Callahan	R	79	230	0	0	25.9077071	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
130	Dick Howser	R	68	155	0.25	16	23.56509516	1	4	"(23,25]"	1	0	0	16	0	0	21.70963365	0.737
131	Manny Castillo	B	69	160	0.24	3	23.6252888	1	1.732050808	"(23,25]"	0	0	1	0	0	3	28.84615385	0.104
132	Mike Ramsey	B	73	170	0.24	2	22.42634641	1	1.414213562	"(16,23]"	0	0	1	0	0	2	19.23076923	0.104
133	Willie Crawford	L	73	197	0.27	86	25.98817789	1	9.273618495	"(25,32]"	0	1	0	0	86	0	272.1518987	0.316
134	Bobby Cuellar	R	71	188	0	0	26.21781393	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
135	Willie Norwood	R	72	185	0.24	18	25.08777006	1	4.242640687	"(25,32]"	1	0	0	18	0	0	24.42333786	0.737
136	Mike Jones	L	78	215	0	0	24.8430309	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
137	Jeff Stone	L	72	175	0.28	11	23.73167438	1	3.31662479	"(23,25]"	0	1	0	0	11	0	34.81012658	0.316
138	Ramon Manon	R	72	150	0	0	20.34143519	0	0	"(16,23]"	1	0	0	0	0	0	0	0.737
139	Joe Lahoud	L	73	198	0.22	65	26.12009758	1	8.062257748	"(25,32]"	0	1	0	0	65	0	205.6962025	0.316
140	Tim Flannery	L	71	175	0.26	9	24.40487998	1	3	"(23,25]"	0	1	0	0	9	0	28.48101266	0.316
141	Dave McKay	B	73	195	0.23	21	25.72433853	1	4.582575695	"(25,32]"	0	0	1	0	0	21	201.9230769	0.104
142	John Trautwein	R	75	205	0	0	25.62044444	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
143	Andy Replogle	R	77	205	0	0	24.3067971	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
144	Zach Crouch	L	75	180	0	0	22.496	0	0	"(16,23]"	0	1	0	0	0	0	0	0.316
145	Benny Ayala	R	73	185	0.25	38	24.40514168	1	6.164414003	"(23,25]"	1	0	0	38	0	0	51.56037992	0.737
146	Ron Romanick	R	76	195	0	0	23.73355263	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
147	Greg Gross	L	70	160	0.29	7	22.95510204	1	2.645751311	"(16,23]"	0	1	0	0	7	0	22.15189873	0.316
148	Bruce Tanner	L	75	220	0	0	27.49511111	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
149	Sal Butera	R	72	190	0.23	8	25.7658179	1	2.828427125	"(25,32]"	1	0	0	8	0	0	10.85481682	0.737
150	Jack Brohamer	L	70	165	0.25	30	23.67244898	1	5.477225575	"(23,25]"	0	1	0	0	30	0	94.93670886	0.316
151	Von Joshua	L	70	170	0.27	30	24.38979592	1	5.477225575	"(23,25]"	0	1	0	0	30	0	94.93670886	0.316
152	Eddie Milner	L	71	173	0.25	42	24.12596707	1	6.480740698	"(23,25]"	0	1	0	0	42	0	132.9113924	0.316
153	Johnny Jeter	R	73	180	0.24	18	23.74554325	1	4.242640687	"(23,25]"	1	0	0	18	0	0	24.42333786	0.737
154	Angel Salazar	R	72	180	0.21	2	24.40972222	1	1.414213562	"(23,25]"	1	0	0	2	0	0	2.713704206	0.737
155	Tony Oliva	L	73	175	0.3	220	23.08594483	1	14.83239697	"(23,25]"	0	1	0	0	220	0	696.2025316	0.316
156	Cito Gaston	R	75	190	0.26	91	23.74577778	1	9.539392014	"(23,25]"	1	0	0	91	0	0	123.4735414	0.737
157	Cookie Rojas	R	70	160	0.26	54	22.95510204	1	7.348469228	"(16,23]"	1	0	0	54	0	0	73.27001357	0.737
158	Rich Morales	R	71	170	0.2	6	23.7075977	1	2.449489743	"(23,25]"	1	0	0	6	0	0	8.141112619	0.737
159	Dave Ford	R	76	190	0	0	23.125	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
160	Dan Ford	R	73	185	0.27	121	24.40514168	1	11	"(23,25]"	1	0	0	121	0	0	164.1791045	0.737
161	Barry Raziano	B	70	175	0	0	25.10714286	0	0	"(25,32]"	0	0	1	0	0	0	0	0.104
162	Darryl Motley	R	69	196	0.24	44	28.94097879	1	6.633249581	"(25,32]"	1	0	0	44	0	0	59.70149254	0.737
163	Ozzie Virgil	R	73	180	0.24	98	23.74554325	1	9.899494937	"(23,25]"	1	0	0	98	0	0	132.9715061	0.737
164	Johnny Oates	L	71	188	0.25	14	26.21781393	1	3.741657387	"(25,32]"	0	1	0	0	14	0	44.30379747	0.316
165	Pat Underwood	L	72	175	0	0	23.73167438	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
166	Mike Phillips	L	72	170	0.24	11	23.05362654	1	3.31662479	"(23,25]"	0	1	0	0	11	0	34.81012658	0.316
167	Ron Santo	R	72	190	0.28	342	25.7658179	1	18.49324201	"(25,32]"	1	0	0	342	0	0	464.0434193	0.737
168	Jay Johnstone	L	73	175	0.27	102	23.08594483	1	10.09950494	"(23,25]"	0	1	0	0	102	0	322.7848101	0.316
169	Jim Ray Hart	R	71	185	0.28	170	25.79944455	1	13.03840481	"(25,32]"	1	0	0	170	0	0	230.6648575	0.737
170	Marc Hill	R	75	205	0.22	34	25.62044444	1	5.830951895	"(25,32]"	1	0	0	34	0	0	46.13297151	0.737
171	Joel McKeon	L	72	185	0	0	25.08777006	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
172	Danny Fife	R	75	175	0	0	21.87111111	0	0	"(16,23]"	1	0	0	0	0	0	0	0.737
173	Chico Salmon	R	70	160	0.25	31	22.95510204	1	5.567764363	"(16,23]"	1	0	0	31	0	0	42.0624152	0.737
174	Joe Niekro	R	73	185	0.16	1	24.40514168	1	1	"(23,25]"	1	0	0	1	0	0	1.356852103	0.737
175	Andy Etchebarren	R	73	190	0.24	49	25.0647401	1	7	"(25,32]"	1	0	0	49	0	0	66.48575305	0.737
176	Ken Berry	R	72	175	0.26	58	23.73167438	1	7.615773106	"(23,25]"	1	0	0	58	0	0	78.69742198	0.737
177	Dave Concepcion	R	74	155	0.27	101	19.89864865	1	10.04987562	"(16,23]"	1	0	0	101	0	0	137.0420624	0.737
178	Junior Moore	R	71	185	0.26	7	25.79944455	1	2.645751311	"(25,32]"	1	0	0	7	0	0	9.497964722	0.737
179	Mike Richardt	R	72	170	0.23	4	23.05362654	1	2	"(23,25]"	1	0	0	4	0	0	5.427408412	0.737
180	Chris Brown	R	72	185	0.27	38	25.08777006	1	6.164414003	"(25,32]"	1	0	0	38	0	0	51.56037992	0.737
181	Al Bumbry	L	68	170	0.28	54	25.84558824	1	7.348469228	"(25,32]"	0	1	0	0	54	0	170.8860759	0.316
182	Al Downing	R	71	175	0.13	2	24.40487998	1	1.414213562	"(23,25]"	1	0	0	2	0	0	2.713704206	0.737
183	Bob Didier	B	72	190	0.23	0	25.7658179	1	0	"(25,32]"	0	0	1	0	0	0	0	0.104
184	Jake Gibbs	L	72	180	0.23	25	24.40972222	1	5	"(23,25]"	0	1	0	0	25	0	79.11392405	0.316
185	Garry Hancock	L	72	175	0.25	12	23.73167438	1	3.464101615	"(23,25]"	0	1	0	0	12	0	37.97468354	0.316
186	Ed Kranepool	L	75	205	0.26	118	25.62044444	1	10.86278049	"(25,32]"	0	1	0	0	118	0	373.4177215	0.316
187	Rick Rhoden	R	75	195	0.24	9	24.37066667	1	3	"(23,25]"	1	0	0	9	0	0	12.21166893	0.737
188	Denny McLain	R	73	185	0.13	1	24.40514168	1	1	"(23,25]"	1	0	0	1	0	0	1.356852103	0.737
189	Chuck Hiller	L	71	170	0.24	20	23.7075977	1	4.472135955	"(23,25]"	0	1	0	0	20	0	63.29113924	0.316
190	Jorge Orta	L	70	170	0.28	130	24.38979592	1	11.40175425	"(23,25]"	0	1	0	0	130	0	411.3924051	0.316
191	Dave Cash	R	71	170	0.28	21	23.7075977	1	4.582575695	"(23,25]"	1	0	0	21	0	0	28.49389417	0.737
192	Bucky Dent	R	69	170	0.25	40	25.10186936	1	6.32455532	"(25,32]"	1	0	0	40	0	0	54.27408412	0.737
193	Andy Beene	R	75	205	0	0	25.62044444	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
194	Bruce Robbins	L	73	190	0	0	25.0647401	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
195	Tony Gonzalez	L	69	170	0.29	103	25.10186936	1	10.14889157	"(25,32]"	0	1	0	0	103	0	325.9493671	0.316
196	Leon Hooten	R	71	180	0	0	25.10216227	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
197	Larry Haney	R	74	195	0.22	12	25.03378378	1	3.464101615	"(25,32]"	1	0	0	12	0	0	16.28222524	0.737
198	Billy Conigliaro	R	72	180	0.26	40	24.40972222	1	6.32455532	"(23,25]"	1	0	0	40	0	0	54.27408412	0.737
199	Gary Roenicke	R	75	205	0.25	121	25.62044444	1	11	"(25,32]"	1	0	0	121	0	0	164.1791045	0.737
200	Don Lock	R	74	195	0.24	122	25.03378378	1	11.04536102	"(25,32]"	1	0	0	122	0	0	165.5359566	0.737
201	Billy Cowan	R	72	170	0.24	40	23.05362654	1	6.32455532	"(23,25]"	1	0	0	40	0	0	54.27408412	0.737
202	Billy Smith	B	74	185	0.23	17	23.75	1	4.123105626	"(23,25]"	0	0	1	0	0	17	163.4615385	0.104
203	Allan Ramirez	R	70	180	0	0	25.8244898	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
204	Tony Perez	R	74	175	0.28	379	22.46621622	1	19.46792233	"(16,23]"	1	0	0	379	0	0	514.2469471	0.737
205	Chuck Schilling	R	70	160	0.24	23	22.95510204	1	4.795831523	"(16,23]"	1	0	0	23	0	0	31.20759837	0.737
206	Hal McRae	R	71	180	0.29	191	25.10216227	1	13.82027496	"(25,32]"	1	0	0	191	0	0	259.1587517	0.737
207	Dave Roberts	R	75	215	0.24	49	26.87022222	1	7	"(25,32]"	1	0	0	49	0	0	66.48575305	0.737
208	Brian Allard	R	73	175	0	0	23.08594483	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
209	Jim Lefebvre	B	72	180	0.25	74	24.40972222	1	8.602325267	"(23,25]"	0	0	1	0	0	74	711.5384615	0.104
210	Fernando Arroyo	R	74	180	0	0	23.10810811	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
211	Gary Beare	R	76	205	0	0	24.95065789	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
212	Charlie Spikes	R	75	215	0.25	65	26.87022222	1	8.062257748	"(25,32]"	1	0	0	65	0	0	88.1953867	0.737
213	Brian Dubois	L	70	165	0	0	23.67244898	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
214	Steve Whitaker	L	72	180	0.23	24	24.40972222	1	4.898979486	"(23,25]"	0	1	0	0	24	0	75.94936709	0.316
215	Manny Jimenez	L	73	185	0.27	26	24.40514168	1	5.099019514	"(23,25]"	0	1	0	0	26	0	82.27848101	0.316
216	Chris Batton	R	76	195	0	0	23.73355263	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
217	Duffy Dyer	R	72	187	0.22	30	25.3589892	1	5.477225575	"(25,32]"	1	0	0	30	0	0	40.70556309	0.737
218	Ken Henderson	B	74	180	0.26	122	23.10810811	1	11.04536102	"(23,25]"	0	0	1	0	0	122	1173.076923	0.104
219	Vance Lovelace	L	77	205	0	0	24.3067971	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
220	Greg Thayer	R	71	182	0	0	25.38107518	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
